family	target_variant	control_variant	target_token_count	control_token_count	token_delta_control_minus_target	target_char_count	control_char_count	target_raw_sha256	control_raw_sha256
recipe_neutral	light_global_mixed	token_match_ascii__light_global_mixed	60	60	0	186	202	3c8b6f8ae6d8acfeefe62b901af1db0f03cee241c8d3a5b23b166b3b94cd6df8	1d1dc01107ccb9543072dba8ddb4fca359ebbb6bc6dda713b364fb0b723205fe
recipe_neutral	light_high_impact_mixed	token_match_ascii__light_high_impact_mixed	73	74	1	186	210	9774f2180f7ce354c17fcead7d3925fcfb069e8cc4a6676b4a30d932141e1e4f	e32b1a763a921a1551c1b4fa216f1c48d618bada289e36f2f042f2e0d07ebcbe
recipe_neutral	dcedilla_shuffled_light	token_match_ascii__dcedilla_shuffled_light	40	40	0	186	189	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f	a7b0ee5eb5552b5d9d94a61f6e1dc58b9b8378e27e5ff03c9c6a5f2c05faf077
recipe_neutral	dcedilla_high_impact	token_match_ascii__dcedilla_high_impact	40	40	0	186	189	4e6d14e2e73378ab0c2b9495527e70213bd8b9ae85d8ed68df78dc1a47bb311f	a7b0ee5eb5552b5d9d94a61f6e1dc58b9b8378e27e5ff03c9c6a5f2c05faf077
recipe_neutral	dense_global_mixed	token_match_ascii__dense_global_mixed	161	161	0	186	267	4ca33e1f475f670370970d349f5086b848ca2febce0264206a80c620f674ba31	5879fba6aa1598c135da398c1e5380cab71230d98a9645bbe917f292c8c4c9cd
recipe_neutral	dense_dcedilla_all	token_match_ascii__dense_dcedilla_all	50	50	0	186	195	6a4a227eab753eea3b26c734e936c452fc5f3db529060af368cf04381df5e638	f86f21f1cfee837add26cf728a4161837575b4ec9abf23a1ae42be9bb4f7283b
recipe_neutral	d_dot_high_impact_control	token_match_ascii__d_dot_high_impact_control	40	40	0	186	189	a8656abc1f33402cf8abbe3c630be244e03ad6e8f6217e9435e1d2d48d711740	a7b0ee5eb5552b5d9d94a61f6e1dc58b9b8378e27e5ff03c9c6a5f2c05faf077
recipe_neutral	dense_combining_mixed	token_match_ascii__dense_combining_mixed	161	161	0	306	267	c4456c78b14eda3ea6e126300f731e100d7dad9123fb39ed5b8e8ed6fcc48407	5879fba6aa1598c135da398c1e5380cab71230d98a9645bbe917f292c8c4c9cd
recipe_neutral	d_acute_high_impact_combining	token_match_ascii__d_acute_high_impact_combining	37	37	0	187	187	4cdf2414e947b2fe72f4a7ca187bd221231821289fb0108d550c4544ab3d423e	babf742f8c8d7fd02b5a22438f97682da9f405fe1746e5dfe2e87e3a90dab9c3
recipe_neutral	d_macron_high_impact_combining	token_match_ascii__d_macron_high_impact_combining	38	39	1	187	188	47950ff7759d2606b0d305f628033408307ae3c0d6436c5b18a2ea668e3aeb1a	d03fb41b3b33dbd69ba2d1bad3b3cfc253aa3e3183de840dd45abf787660ec70
recipe_metaphysics	light_global_mixed	token_match_ascii__light_global_mixed	78	79	1	239	263	264c75ee0ecb03463a38e25a3d44384174237e5dc4dce8cb792da67b01cc994d	be2babed74d2b16c5695c8f77d548b5abb9f92e7bd75054bc6afd929dc88df27
recipe_metaphysics	light_high_impact_mixed	token_match_ascii__light_high_impact_mixed	94	94	0	239	273	85d9dc9547ba56b2902a0a0ddabef84b858fc0798f0f0c2f97af063002a0133f	41fbb83618cd6e7d9ca71c5d0b9fff3f9e91e1576f474a539885b7b1cc7d1266
recipe_metaphysics	dcedilla_shuffled_light	token_match_ascii__dcedilla_shuffled_light	50	50	0	239	245	951c5926476664d6c3a943a2d8a33945de5e631d695a8c0906220d0c1fa24591	23179f91b73ad5ee264460e8fa81c62c8364bb3e95ff35a112d9876e9ff35230
recipe_metaphysics	dcedilla_high_impact	token_match_ascii__dcedilla_high_impact	51	53	2	239	246	cc61c804b4b52bb50a0216ddf5962f55ba631550ca9f94fa10d4030d72aac21d	a10e4414e0c986ecb964cd952fe4bc781a6e90baadb4820906770578d49f2418
recipe_metaphysics	dense_global_mixed	token_match_ascii__dense_global_mixed	214	214	0	239	352	0c22753d78ee6e4e23d6931aa2ca9f3d6f86974f07c161729b62eff5a14bf3c3	8ac9d36559fcacdc3c6c9049ec7394bf3fae205f3c7ddc1329d17f0131413af7
recipe_metaphysics	dense_dcedilla_all	token_match_ascii__dense_dcedilla_all	70	70	0	239	258	45e1f33a085c0e1876b6ad3370a904c1f9a0d250d1aa776ad01bfea605ff6184	a31cd1167915719f4ab7065f5e00cf9ee1e61202966515ee4e88f84396af21a1
recipe_metaphysics	d_dot_high_impact_control	token_match_ascii__d_dot_high_impact_control	51	53	2	239	246	458f8e7486251f330ac6d926b41943208bf581bd68a22c4aad4530aebbba58d5	a10e4414e0c986ecb964cd952fe4bc781a6e90baadb4820906770578d49f2418
recipe_metaphysics	dense_combining_mixed	token_match_ascii__dense_combining_mixed	212	213	1	400	351	e1b878b5df2b0cc7df11209241a04f5c308e0d962ec718f0a77a4374a7bac026	e994d5635ff7d29e3573eacaadae399aeb9bdd17d6865132d63457c43ea5c019
recipe_metaphysics	d_acute_high_impact_combining	token_match_ascii__d_acute_high_impact_combining	46	46	0	241	242	b87a47e38a1760baf7e50b9d2caf677d0b673a3c0d82739a86f77066104c1165	033718adadaa425dc3359f5a74b589f73b1dcd0e238f852b820dfe4028786546
recipe_metaphysics	d_macron_high_impact_combining	token_match_ascii__d_macron_high_impact_combining	48	48	0	241	243	3cdbdedf4df8ae6e803456c7a87c6aa5842685a45d4959eb8381812ab6a63e51	31f8b47bd83e196beb712c7b42e51a0d47cf0434b7036c705da9782042e0bf67
