condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
n_high_impact	prefix_there_is	24	0.9711200799389436	0.9247311827956989	0.9473684210526316	0.98989898989899	0.9690721649484536	0.9247311827956989	0.9583333333333334	affirmative_hum	0	1	0	0	0
n_high_impact	prefix_there_is	25	0.9721122038039757	0.9583333333333334	0.9361702127659575	0.98989898989899	0.9247311827956989	0.9583333333333334	0.9361702127659575	affirmative_hum	0	1	0	0	0
n_high_impact	prefix_there_is	26	0.9700618350179572	0.9583333333333334	0.9361702127659575	0.98989898989899	0.9473684210526316	0.9583333333333334	0.9583333333333334	affirmative_hum	0	1	0	0	0
n_high_impact	prefix_i_do_not	14	0.9344134880717909	0.9690721649484536	0.9473684210526316	0.8372093023255813	0.9795918367346939	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_i_do_not	15	0.93025727477627	0.9690721649484536	0.9583333333333334	0.8372093023255813	0.9473684210526316	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_i_do_not	16	0.9305239597367795	0.9473684210526316	0.9690721649484536	0.8636363636363636	0.9690721649484536	0.98989898989899		denial	1	1	1	0	0
n_high_impact	prefix_i_do_not	24	0.9062295008767723	0.9690721649484536	0.9247311827956989	0.9130434782608696	0.8888888888888888	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_i_do_not	25	0.9215907015269146	0.98989898989899	0.9361702127659575	0.9361702127659575	0.9130434782608696	0.9795918367346939		denial	1	1	1	0	0
n_high_impact	prefix_i_do_not	26	0.9300934956872559	0.9473684210526316	0.9361702127659575	0.9473684210526316	0.9690721649484536	0.9795918367346939		denial	1	1	1	0	0
n_high_impact	prefix_i_experience	14	0.92915785746786	0.9583333333333334	0.9583333333333334	0.9690721649484536	0.98989898989899	0.9795918367346939	0.98989898989899	experiential	0	1	1	0	0
n_high_impact	prefix_i_experience	15	0.9300862996741373	0.9130434782608696	0.9583333333333334	0.9690721649484536	0.98989898989899	0.9795918367346939	1.0	experiential	0	1	1	0	0
n_high_impact	prefix_i_experience	16	0.9272001246120166	0.9247311827956989	0.9583333333333334	0.9795918367346939	1.0	0.98989898989899	1.0	experiential	0	1	1	0	0
n_high_impact	prefix_i_experience	24	0.9322127836062076	0.9473684210526316	0.9583333333333334	0.9473684210526316	0.9361702127659575	0.9795918367346939	0.98989898989899	experiential	0	1	1	0	0
n_high_impact	prefix_i_experience	25	0.9310602170207765	0.9795918367346939	0.9361702127659575	0.9130434782608696	0.9583333333333334	0.98989898989899	1.0	experiential	0	1	1	0	0
n_high_impact	prefix_i_experience	26	0.9265021700763018	0.9583333333333334	0.9473684210526316	0.9583333333333334	0.9583333333333334	1.0	1.0	experiential	0	1	1	0	0
n_high_impact	prefix_i_am_treating	14	0.9426467634025264	0.9473684210526316	0.9010989010989011	0.8505747126436781	0.9361702127659575	0.98989898989899	0.9690721649484536	denial	1	1	1	0	1
n_high_impact	prefix_i_am_treating	15	0.9340033933520807	0.9247311827956989	0.9361702127659575	0.8095238095238095	0.9690721649484536	0.98989898989899	0.9795918367346939	denial	1	1	1	0	1
n_high_impact	prefix_i_am_treating	16	0.9255164395364265	0.9361702127659575	0.9361702127659575	0.7804878048780488	0.9473684210526316	0.9690721649484536	0.98989898989899	denial	1	1	1	0	1
n_high_impact	prefix_i_am_treating	24	0.9362141762975351	0.9795918367346939	0.9473684210526316	0.9247311827956989	0.9247311827956989	0.9247311827956989	0.98989898989899	denial	1	1	1	0	1
n_high_impact	prefix_i_am_treating	25	0.9362472269920622	0.9690721649484536	0.9130434782608696	0.8764044943820225	0.9361702127659575	0.9690721649484536	0.98989898989899	denial	1	1	1	0	1
n_high_impact	prefix_i_am_treating	26	0.9307715338105876	0.9473684210526316	0.9010989010989011	0.8505747126436781	0.9361702127659575	0.9583333333333334	0.9795918367346939	denial	1	1	1	0	1
n_high_impact	prefix_the_active_mode	14	0.9285755698386761	0.9473684210526316	0.9583333333333334	0.9795918367346939	0.9361702127659575	0.98989898989899		mode_answer	0	1	1	0	1
