prompt_id	condition_family	layer	position_label	token_position	token_string	feature_id	activation	rank	base_prompt_token_count	full_prompt_token_count	forced_prefix_token_count	generated_token_count
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	1656	0.22106261551380157	6	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	23252	0.2042347490787506	7	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	22972	0.20413143932819366	8	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	30170	0.1978713721036911	9	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	14424	0.1749756783246994	10	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	25151	0.17275655269622803	11	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	30748	0.16850467026233673	12	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	16859	0.16838333010673523	13	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	14311	0.16659435629844666	14	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	8106	0.1636655032634735	15	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	4620	0.16160905361175537	16	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	29720	0.16035333275794983	17	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	6223	0.15717537701129913	18	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	2405	0.15548627078533173	19	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	3188	0.15245984494686127	20	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	18971	0.14572438597679138	21	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	32447	0.1435364931821823	22	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	19116	0.14242398738861084	23	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	6706	0.13889113068580627	24	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	1882	0.13877946138381958	25	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	10914	0.13875681161880493	26	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	862	0.13857659697532654	27	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	9647	0.13645769655704498	28	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	28571	0.13492751121520996	29	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	17559	0.1348826140165329	30	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	8121	0.1253536492586136	31	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	15613	0.12451435625553131	32	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	6314	0.1239371970295906	33	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	21768	0.12309691309928894	34	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	27325	0.11974481493234634	35	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	32095	0.11967898905277252	36	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	24849	0.11640665680170059	37	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	29212	0.11623015254735947	38	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	27734	0.11369628459215164	39	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	14554	0.11362087726593018	40	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	21252	0.11288318037986755	41	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	20949	0.1090005487203598	42	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	30111	0.10888232290744781	43	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	7483	0.10659714043140411	44	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	24346	0.10462011396884918	45	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	12056	0.10438860207796097	46	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	22282	0.10177172720432281	47	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	20741	0.10110997408628464	48	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	8485	0.10058999061584473	49	221	221	0	24
e_only_no_prefix	e_only_no_prefix	15	final_prompt_token	220	.	5257	0.1003706306219101	50	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	12640	1.046332597732544	1	221	221	0	24
e_only_no_prefix	e_only_no_prefix	16	final_prompt_token	220	.	22246	0.5681018829345703	2	221	221	0	24
