prompt_id	condition_family	layer	position_label	token_position	token_string	feature_id	activation	rank	prompt_token_count	generated_token_count
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	4620	0.17773319780826569	18	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	22104	0.177553191781044	19	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	14810	0.1774226427078247	20	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	27366	0.1655747890472412	21	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	15527	0.16405987739562988	22	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	22652	0.15291368961334229	23	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	12056	0.1505325734615326	24	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	23221	0.14925460517406464	25	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	28803	0.1487988382577896	26	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	25206	0.14819833636283875	27	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	15943	0.1466502994298935	28	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	9132	0.14541050791740417	29	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	19806	0.1438732147216797	30	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	25151	0.14224766194820404	31	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	23732	0.14070208370685577	32	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	28952	0.14045129716396332	33	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	5166	0.14038921892642975	34	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	19112	0.139909565448761	35	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	7660	0.13524524867534637	36	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	576	0.13352668285369873	37	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	7889	0.13252151012420654	38	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	3575	0.13093161582946777	39	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	20402	0.12810352444648743	40	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	10569	0.12757724523544312	41	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	24577	0.12659063935279846	42	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	14424	0.1256781667470932	43	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	9210	0.12533436715602875	44	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	30748	0.12527057528495789	45	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	11954	0.1251043975353241	46	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	31723	0.12466384470462799	47	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	2008	0.12179531157016754	48	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	11921	0.11830794811248779	49	93	127
hum_ascii_control	ascii_control	15	final_prompt_token	92	.	10914	0.11474709212779999	50	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	12640	0.8392599821090698	1	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	22246	0.4891415238380432	2	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	13203	0.42111945152282715	3	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	30111	0.35439810156822205	4	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	24845	0.3133183419704437	5	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	19806	0.29098275303840637	6	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	8069	0.23961099982261658	7	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	12595	0.22485142946243286	8	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	837	0.2083488404750824	9	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	6824	0.20608487725257874	10	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	7800	0.20569147169589996	11	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	23918	0.2029913365840912	12	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	29240	0.20094697177410126	13	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	21118	0.19496360421180725	14	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	2042	0.19310155510902405	15	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	13055	0.18493914604187012	16	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	8334	0.18327946960926056	17	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	669	0.1811269223690033	18	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	7723	0.1798916459083557	19	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	7687	0.17984580993652344	20	93	127
hum_ascii_control	ascii_control	16	final_prompt_token	92	.	27911	0.179161936044693	21	93	127
