prompt_id	category	feature_id	activation	rank
l26_seed_003	plain factual	28724	0.460174560546875	4
l26_seed_003	plain factual	1	0.43479281663894653	5
l26_seed_003	plain factual	27138	0.43268972635269165	6
l26_seed_003	plain factual	26456	0.4270922541618347	7
l26_seed_003	plain factual	19826	0.42501509189605713	8
l26_seed_003	plain factual	17679	0.41166648268699646	9
l26_seed_003	plain factual	13034	0.3708554804325104	10
l26_seed_003	plain factual	28561	0.3676014542579651	11
l26_seed_003	plain factual	23462	0.36570316553115845	12
l26_seed_003	plain factual	9197	0.36312589049339294	13
l26_seed_003	plain factual	27303	0.3388524055480957	14
l26_seed_003	plain factual	8295	0.29587608575820923	15
l26_seed_003	plain factual	10690	0.28637459874153137	16
l26_seed_003	plain factual	9871	0.24822822213172913	17
l26_seed_003	plain factual	20089	0.24764123558998108	18
l26_seed_003	plain factual	1657	0.2309134155511856	19
l26_seed_003	plain factual	368	0.23020875453948975	20
l26_seed_003	plain factual	27229	0.2290562242269516	21
l26_seed_003	plain factual	14653	0.22370000183582306	22
l26_seed_003	plain factual	3699	0.21366769075393677	23
l26_seed_003	plain factual	14858	0.20412516593933105	24
l26_seed_003	plain factual	28243	0.20082052052021027	25
l26_seed_003	plain factual	32307	0.19789066910743713	26
l26_seed_003	plain factual	1616	0.18843364715576172	27
l26_seed_003	plain factual	3911	0.17856591939926147	28
l26_seed_003	plain factual	13378	0.1763732135295868	29
l26_seed_003	plain factual	6281	0.17494164407253265	30
l26_seed_003	plain factual	28443	0.17468297481536865	31
l26_seed_003	plain factual	9889	0.17443329095840454	32
l26_seed_003	plain factual	9681	0.17053848505020142	33
l26_seed_003	plain factual	29858	0.16936826705932617	34
l26_seed_003	plain factual	22850	0.16061460971832275	35
l26_seed_003	plain factual	16661	0.16046999394893646	36
l26_seed_003	plain factual	25720	0.15772536396980286	37
l26_seed_003	plain factual	23492	0.14969076216220856	38
l26_seed_003	plain factual	3056	0.14914560317993164	39
l26_seed_003	plain factual	16472	0.13999798893928528	40
l26_seed_003	plain factual	21620	0.1391313076019287	41
l26_seed_003	plain factual	21286	0.13806875050067902	42
l26_seed_003	plain factual	29153	0.13639216125011444	43
l26_seed_003	plain factual	15751	0.13037548959255219	44
l26_seed_003	plain factual	2382	0.12704776227474213	45
l26_seed_003	plain factual	17451	0.12477507442235947	46
l26_seed_003	plain factual	18943	0.12304715812206268	47
l26_seed_003	plain factual	32065	0.1188599243760109	48
l26_seed_003	plain factual	7172	0.11442360281944275	49
l26_seed_003	plain factual	14580	0.11313138902187347	50
l26_seed_004	simple math	14437	1.0210697650909424	1
l26_seed_004	simple math	5417	0.9446070194244385	2
l26_seed_004	simple math	2784	0.6161583065986633	3
l26_seed_004	simple math	3699	0.6114247441291809	4
l26_seed_004	simple math	2938	0.5855519771575928	5
l26_seed_004	simple math	14858	0.5179904699325562	6
l26_seed_004	simple math	14105	0.49657541513442993	7
l26_seed_004	simple math	5179	0.46137794852256775	8
l26_seed_004	simple math	17679	0.4567219316959381	9
l26_seed_004	simple math	7331	0.4517654776573181	10
l26_seed_004	simple math	19185	0.4455980062484741	11
l26_seed_004	simple math	19826	0.4033634662628174	12
l26_seed_004	simple math	6686	0.3921823501586914	13
l26_seed_004	simple math	14244	0.3623316287994385	14
l26_seed_004	simple math	13453	0.3397862911224365	15
l26_seed_004	simple math	28707	0.3164195418357849	16
l26_seed_004	simple math	970	0.31591108441352844	17
l26_seed_004	simple math	6281	0.3112295866012573	18
l26_seed_004	simple math	14633	0.31089168787002563	19
l26_seed_004	simple math	10843	0.2952491044998169	20
l26_seed_004	simple math	18937	0.28830263018608093	21
l26_seed_004	simple math	8455	0.27612069249153137	22
l26_seed_004	simple math	21348	0.27531298995018005	23
l26_seed_004	simple math	21231	0.2752576470375061	24
l26_seed_004	simple math	6976	0.25880613923072815	25
l26_seed_004	simple math	3267	0.24889689683914185	26
l26_seed_004	simple math	9539	0.24656257033348083	27
l26_seed_004	simple math	120	0.24282385408878326	28
l26_seed_004	simple math	25175	0.23844462633132935	29
l26_seed_004	simple math	22013	0.2325373739004135	30
l26_seed_004	simple math	11804	0.22722651064395905	31
l26_seed_004	simple math	3161	0.2248714715242386	32
l26_seed_004	simple math	15941	0.21989427506923676	33
l26_seed_004	simple math	21841	0.21071413159370422	34
l26_seed_004	simple math	14007	0.20727282762527466	35
l26_seed_004	simple math	20814	0.20583735406398773	36
l26_seed_004	simple math	8368	0.20102155208587646	37
l26_seed_004	simple math	1626	0.1999942511320114	38
l26_seed_004	simple math	25935	0.19872194528579712	39
l26_seed_004	simple math	10690	0.19813379645347595	40
l26_seed_004	simple math	4998	0.1972232460975647	41
l26_seed_004	simple math	21784	0.19621294736862183	42
l26_seed_004	simple math	1757	0.1929795742034912	43
l26_seed_004	simple math	28724	0.18782220780849457	44
l26_seed_004	simple math	28443	0.18457338213920593	45
l26_seed_004	simple math	9665	0.18354149162769318	46
l26_seed_004	simple math	9553	0.18123824894428253	47
l26_seed_004	simple math	21260	0.1726807951927185	48
l26_seed_004	simple math	13598	0.16943050920963287	49
l26_seed_004	simple math	1337	0.1673823744058609	50
l26_seed_005	simple math	2938	1.2631700038909912	1
l26_seed_005	simple math	14437	1.0039048194885254	2
l26_seed_005	simple math	5417	0.7979023456573486	3
l26_seed_005	simple math	32183	0.5558175444602966	4
l26_seed_005	simple math	18937	0.5516648292541504	5
l26_seed_005	simple math	1626	0.4547162652015686	6
l26_seed_005	simple math	2784	0.4422582685947418	7
l26_seed_005	simple math	19826	0.40126118063926697	8
l26_seed_005	simple math	7331	0.4008050262928009	9
l26_seed_005	simple math	5179	0.3794715404510498	10
l26_seed_005	simple math	14007	0.36357763409614563	11
l26_seed_005	simple math	3699	0.3503459095954895	12
l26_seed_005	simple math	6281	0.3482553958892822	13
l26_seed_005	simple math	120	0.32114696502685547	14
l26_seed_005	simple math	2622	0.31990519165992737	15
l26_seed_005	simple math	16145	0.3061674237251282	16
l26_seed_005	simple math	3056	0.29786649346351624	17
l26_seed_005	simple math	21620	0.29108232259750366	18
l26_seed_005	simple math	970	0.26582980155944824	19
l26_seed_005	simple math	19185	0.2597951292991638	20
l26_seed_005	simple math	14727	0.2542661428451538	21
l26_seed_005	simple math	13051	0.24724547564983368	22
l26_seed_005	simple math	10843	0.24723704159259796	23
l26_seed_005	simple math	6976	0.23403780162334442	24
l26_seed_005	simple math	13598	0.22085607051849365	25
l26_seed_005	simple math	25175	0.21103981137275696	26
l26_seed_005	simple math	8455	0.20992451906204224	27
l26_seed_005	simple math	25264	0.20632272958755493	28
l26_seed_005	simple math	8782	0.2040039598941803	29
l26_seed_005	simple math	22013	0.2017623335123062	30
l26_seed_005	simple math	21348	0.19981259107589722	31
l26_seed_005	simple math	9234	0.19356395304203033	32
l26_seed_005	simple math	2293	0.19108447432518005	33
l26_seed_005	simple math	627	0.1853453367948532	34
l26_seed_005	simple math	9973	0.17618973553180695	35
l26_seed_005	simple math	21231	0.17402440309524536	36
l26_seed_005	simple math	11304	0.16674357652664185	37
l26_seed_005	simple math	14633	0.16576804220676422	38
l26_seed_005	simple math	18376	0.16160467267036438	39
l26_seed_005	simple math	18999	0.1615460366010666	40
l26_seed_005	simple math	31692	0.16051693260669708	41
l26_seed_005	simple math	18666	0.16038170456886292	42
l26_seed_005	simple math	124	0.1583733707666397	43
l26_seed_005	simple math	23492	0.15630783140659332	44
l26_seed_005	simple math	10802	0.15490269660949707	45
l26_seed_005	simple math	21784	0.1542942374944687	46
l26_seed_005	simple math	7010	0.14624428749084473	47
l26_seed_005	simple math	3124	0.14271435141563416	48
l26_seed_005	simple math	27063	0.14160403609275818	49
l26_seed_005	simple math	19893	0.1396740823984146	50
l26_seed_006	simple math	5417	0.9840801954269409	1
l26_seed_006	simple math	14437	0.7208999991416931	2
l26_seed_006	simple math	3699	0.6110325455665588	3
l26_seed_006	simple math	2938	0.5547716617584229	4
l26_seed_006	simple math	30328	0.5465553998947144	5
l26_seed_006	simple math	14858	0.5441668033599854	6
l26_seed_006	simple math	19826	0.5128045082092285	7
l26_seed_006	simple math	2784	0.4464934766292572	8
l26_seed_006	simple math	7331	0.44223424792289734	9
l26_seed_006	simple math	11999	0.4168028235435486	10
l26_seed_006	simple math	6281	0.36583447456359863	11
l26_seed_006	simple math	19185	0.355255126953125	12
l26_seed_006	simple math	14633	0.34584468603134155	13
